name,url,description,category,pricing,hasApi,tags,modelId,modelName,provider,providerSlug,contextLength,pricingPromptUsd,pricingCompletionUsd,pricingPromptPerMillionUsd,pricingCompletionPerMillionUsd,costEfficiencyScore,costTierAbsolute,useCaseTier,contextTier,modalityTier,uptimeTier,releaseRecencyTier,featureRichnessTier,quantizationTier,maxOutputTier,providerDiversityTier,knowledgeCutoffRecencyTier,providerTier,modality,inputModalities,outputModalities,quantization,maxCompletionTokens,uptimeLast30dPct,supportedParameters,knowledgeCutoff,releaseDate,providerHeadquarters,providerDatacenters,isFree,freeTier,pricingUnit,availability,licenseTier,modalityClass,capabilities,urlDomainTier,descriptionLengthTier,categorizationTier
Xiaomi: MiMo-V2.5 via Venice [fp8],https://openrouter.ai/xiaomi/mimo-v2.5#provider=venice-fp8,"MiMo-V2.5 is a native omnimodal model by Xiaomi. It delivers Pro-level agentic performance at roughly half the inference cost, while surpassing MiMo-V2-Omni in multimodal perception across image and video understanding... — 1,000,000 context, $0.14/M input, $0.28/M output via Venice.",audio,unknown,false,[],xiaomi/mimo-v2.5,Xiaomi: MiMo-V2.5,Venice,venice,1000000,1.4e-7,2.8e-7,0.14,0.28,cheapest25pct,cheap,audio,xlarge,audio-io,poor,fresh,advanced,reduced-precision,large,widespread,unknown,aggregator,text+image+audio+video->text,"[""text"",""audio"",""image"",""video""]","[""text""]",fp8,65536,92.42,"[""reasoning"",""include_reasoning"",""max_tokens"",""temperature"",""top_p"",""stop"",""frequency_penalty"",""presence_penalty"",""top_k"",""response_format"",""structured_outputs"",""tools"",""tool_choice""]",,2026-04-22,US,"[""US""]",false,,per-mtok,api,open-weight,llm,"[""function-calling"",""json-mode"",""reasoning"",""vision-input"",""audio-input""]",commercial,detailed,specific
Qwen: Qwen3 Coder 480B A35B via Alibaba [unknown],https://openrouter.ai/qwen/qwen3-coder#provider=alibaba-unknown,"Qwen3-Coder-480B-A35B-Instruct is a Mixture-of-Experts (MoE) code generation model developed by the Qwen team. It is optimized for agentic coding tasks such as function calling, tool use, and long-context reasoning over... — 262,144 context, $0.97/M input, $4.88/M output via Alibaba.",chat,unknown,false,[],qwen/qwen3-coder,Qwen: Qwen3 Coder 480B A35B,Alibaba,alibaba,262144,9.75e-7,0.000004875,0.975,4.875,midrange,mid,code,large,text-only,excellent,current,rich,unknown,large,widespread,dated,frontier-lab,text->text,"[""text""]","[""text""]",unknown,65536,99.96,"[""structured_outputs"",""response_format"",""max_tokens"",""temperature"",""top_p"",""seed"",""presence_penalty"",""tools"",""tool_choice"",""logprobs"",""top_logprobs""]",2025-06-30,2025-07-23,SG,"[""SG"",""CN""]",false,,per-mtok,api,open-weight,llm,"[""function-calling"",""json-mode""]",commercial,detailed,specific
Mistral: Codestral 2508 via Mistral [unknown],https://openrouter.ai/mistralai/codestral-2508#provider=mistral-unknown,"Mistral's cutting-edge language model for coding released end of July 2025. Codestral specializes in low-latency, high-frequency tasks such as fill-in-the-middle (FIM), code correction and test generation. [Blog Post](https://mistral.ai/news/codestral-25-08) — 256,000 context, $0.30/M input, $0.90/M output via Mistral.",code,unknown,false,[],mistralai/codestral-2508,Mistral: Codestral 2508,Mistral,mistral,256000,3e-7,9e-7,0.3,0.9,cheap50pct,cheap,multimodal,large,multimodal-text-out,excellent,current,rich,unknown,unknown,single,dated,frontier-lab,text+file->text,"[""text"",""file""]","[""text""]",unknown,0,99.93,"[""structured_outputs"",""response_format"",""max_tokens"",""temperature"",""top_p"",""stop"",""frequency_penalty"",""presence_penalty"",""seed"",""tools"",""tool_choice""]",2025-03-31,2025-08-01,FR,[],false,,per-mtok,api,proprietary,llm,"[""function-calling"",""json-mode"",""file-input""]",commercial,detailed,specific
Google: Nano Banana 2 Lite (Gemini 3.1 Flash Lite Image) via Google [unknown],https://openrouter.ai/google/gemini-3.1-flash-lite-image#provider=google-unknown,"Nano Banana 2 Lite (Gemini 3.1 Flash Lite Image) is Google's fastest, most cost-efficient Gemini image model, built for high-velocity developer pipelines and rapid-fire visual exploration. It delivers text-to-image generation... — 65,536 context, $0.25/M input, $1.50/M output via Google.",image-generation,unknown,true,[],google/gemini-3.1-flash-lite-image,Google: Nano Banana 2 Lite (Gemini 3.1 Flash Lite Image),Google,google,65536,2.5e-7,0.0000015,0.25,1.5,cheap50pct,cheap,vision,medium,image-out,good,bleeding-edge,standard,unknown,xlarge,multi,dated,hyperscaler,text+image->text+image,"[""image"",""text""]","[""image"",""text""]",unknown,66000,99.7,"[""reasoning"",""include_reasoning"",""max_tokens"",""temperature"",""top_p"",""seed"",""response_format""]",2025-01-01,2026-06-30,US,[],false,,per-mtok,api,proprietary,llm,"[""json-mode"",""reasoning"",""vision-input""]",commercial,detailed,specific
Mistral: Mistral Medium 3.1 via Mistral [unknown],https://openrouter.ai/mistralai/mistral-medium-3.1#provider=mistral-unknown,"Mistral Medium 3.1 is an updated version of Mistral Medium 3, which is a high-performance enterprise-grade language model designed to deliver frontier-level capabilities at significantly reduced operational cost. It balances... — 131,072 context, $0.40/M input, $2.00/M output via Mistral.",multimodal,unknown,false,[],mistralai/mistral-medium-3.1,Mistral: Mistral Medium 3.1,Mistral,mistral,131072,4e-7,0.000002,0.4,2,cheap50pct,cheap,multimodal,large,multimodal-text-out,excellent,current,rich,unknown,unknown,single,dated,frontier-lab,text+image+file->text,"[""text"",""image"",""file""]","[""text""]",unknown,0,99.94,"[""max_tokens"",""temperature"",""top_p"",""stop"",""frequency_penalty"",""presence_penalty"",""seed"",""response_format"",""structured_outputs"",""tools"",""tool_choice""]",2025-06-30,2025-08-13,FR,[],false,,per-mtok,api,proprietary,llm,"[""function-calling"",""json-mode"",""vision-input"",""file-input""]",commercial,detailed,specific
Google: Gemma 4 31B via SiliconFlow [fp8],https://openrouter.ai/google/gemma-4-31b-it#provider=siliconflow-fp8,"Gemma 4 31B Instruct is Google DeepMind's 30.7B dense multimodal model supporting text and image input with text output. Features a 256K token context window, configurable thinking/reasoning mode, native function... — 262,144 context, $0.13/M input, $0.40/M output via SiliconFlow.",reasoning,unknown,false,[],google/gemma-4-31b-it,Google: Gemma 4 31B,SiliconFlow,siliconflow,262144,1.3e-7,4e-7,0.13,0.4,cheapest25pct,cheap,multimodal,large,multimodal-text-out,poor,fresh,advanced,reduced-precision,xlarge,ubiquitous,unknown,aggregator,text+image+video->text,"[""image"",""text"",""video""]","[""text""]",fp8,262144,47.35,"[""reasoning"",""include_reasoning"",""temperature"",""top_p"",""top_k"",""frequency_penalty"",""max_tokens"",""response_format"",""structured_outputs"",""tool_choice"",""tools""]",,2026-04-02,SG,"[""US""]",false,,per-mtok,api,open-weight,llm,"[""function-calling"",""json-mode"",""reasoning"",""vision-input""]",commercial,detailed,specific
Morph: Morph V3 Fast via Morph [unknown],https://openrouter.ai/morph/morph-v3-fast#provider=morph-unknown,"Morph's fastest apply model for code edits. ~10,500 tokens/sec with 96% accuracy for rapid code transformations. The model requires the prompt to be in the following format: <instruction>{instruction}</instruction> <code>{initial_code}</code> <update>{edit_snippet}</update>... — 81,920 context, $0.80/M input, $1.20/M output via Morph.",text-generation,unknown,true,[],morph/morph-v3-fast,Morph: Morph V3 Fast,Morph,morph,81920,8e-7,0.0000012,0.8,1.2,midrange,cheap,chat,medium,text-only,excellent,current,basic,unknown,large,single,unknown,aggregator,text->text,"[""text""]","[""text""]",unknown,38000,100,"[""max_tokens"",""temperature"",""stop""]",,2025-07-07,US,"[""US""]",false,,per-mtok,api,proprietary,llm,[],commercial,detailed,specific
Google Gemini Flash Latest via OpenRouter,https://openrouter.ai/~google/gemini-flash-latest#provider=openrouter,"This model always redirects to the latest model in the Google Gemini Flash family. — 1,048,576 context, $1.50/M input, $9.00/M output via OpenRouter.",audio,unknown,false,[],~google/gemini-flash-latest,Google Gemini Flash Latest,OpenRouter,openrouter,1048576,0.0000015,0.000009,1.5,9,expensive,mid,audio,xlarge,audio-io,unknown,fresh,advanced,unknown,unknown,single,dated,aggregator,text+image+file+audio+video->text,"[""text"",""image"",""video"",""file"",""audio""]","[""text""]",,0,0,"[""include_reasoning"",""max_tokens"",""reasoning"",""response_format"",""seed"",""stop"",""structured_outputs"",""temperature"",""tool_choice"",""tools"",""top_p""]",2025-01-01,2026-04-27,,[],false,,per-mtok,api,proprietary,llm,"[""function-calling"",""json-mode"",""reasoning"",""vision-input"",""file-input"",""audio-input""]",commercial,normal,specific
MiniMax: MiniMax M2.7 via DeepInfra [fp8],https://openrouter.ai/minimax/minimax-m2.7#provider=deepinfra-fp8,"MiniMax-M2.7 is a next-generation large language model designed for autonomous, real-world productivity and continuous improvement. Built to actively participate in its own evolution, M2.7 integrates advanced agentic capabilities through multi-agent... — 196,608 context, $0.25/M input, $1.00/M output via DeepInfra.",chat,unknown,false,[],minimax/minimax-m2.7,MiniMax: MiniMax M2.7,DeepInfra,deepinfra,196608,2.5e-7,0.000001,0.25,1,cheap50pct,cheap,chat,large,text-only,good,fresh,advanced,reduced-precision,xlarge,widespread,unknown,aggregator,text->text,"[""text""]","[""text""]",fp8,131072,99.8,"[""reasoning"",""include_reasoning"",""max_tokens"",""temperature"",""top_p"",""stop"",""frequency_penalty"",""presence_penalty"",""repetition_penalty"",""top_k"",""seed"",""min_p"",""response_format"",""logit_bias"",""tools"",""tool_choice""]",,2026-03-18,US,[],false,,per-mtok,api,open-weight,llm,"[""function-calling"",""json-mode"",""reasoning""]",commercial,detailed,specific
Google: Nano Banana (Gemini 2.5 Flash Image) via Google [unknown],https://openrouter.ai/google/gemini-2.5-flash-image#provider=google-unknown,"Gemini 2.5 Flash Image, a.k.a. ""Nano Banana,"" is now generally available. It is a state of the art image generation model with contextual understanding. It is capable of image generation,... — 32,768 context, $0.30/M input, $2.50/M output via Google.",image-generation,unknown,false,[],google/gemini-2.5-flash-image,Google: Nano Banana (Gemini 2.5 Flash Image),Google,google,32768,3e-7,0.0000025,0.3,2.5,midrange,cheap,vision,medium,image-out,good,current,standard,unknown,medium,multi,dated,hyperscaler,text+image->text+image,"[""image"",""text""]","[""image"",""text""]",unknown,8192,99.57,"[""max_tokens"",""temperature"",""top_p"",""seed"",""response_format"",""stop"",""structured_outputs""]",2025-01-31,2025-10-07,US,[],false,,per-mtok,api,proprietary,llm,"[""json-mode"",""vision-input""]",commercial,detailed,specific
