name,url,description,category,pricing,hasApi,tags,modelId,provider,author,pipelineTag,downloads,likes,license,isFree,freeTier,availability,licenseTier,modalityClass,capabilities,urlDomainTier,descriptionLengthTier,categorizationTier
funnel-transformer/small,https://huggingface.co/funnel-transformer/small,"feature extraction (transformers) — license: apache-2.0 — 106,871 downloads",base-model,unknown,false,"[""transformers"",""pytorch"",""tf"",""funnel"",""feature-extraction"",""en"",""endpoints_compatible""]",funnel-transformer/small,funnel-transformer,funnel-transformer,feature-extraction,106871,6,apache-2.0,true,open weights — free to self-host (HF Hub),open-weight,oss,embedding,[],registry-hosted,normal,specific
OpenAI text-embedding-3-small,https://platform.openai.com/docs/guides/embeddings#text-embedding-3-small,"OpenAI's cost-efficient text embedding model — the default choice for high-volume RAG pipelines on the OpenAI stack, with dimension shortening support.",hosted-service,unknown,false,"[""openai"",""text-embedding"",""cost-efficient""]",text-embedding-3-small,OpenAI,,,,,,false,,api,proprietary,embedding,"[""matryoshka-dimensions"",""multilingual""]",commercial,normal,specific
Qdrant/bge-small-en-v1.5-onnx-Q,https://huggingface.co/Qdrant/bge-small-en-v1.5-onnx-Q,"sentence similarity (transformers) — license: apache-2.0 — 773,122 downloads",base-model,unknown,false,"[""transformers"",""onnx"",""bert"",""feature-extraction"",""sentence-similarity"",""text-embeddings-inference"",""endpoints_compatible""]",Qdrant/bge-small-en-v1.5-onnx-Q,Qdrant,Qdrant,sentence-similarity,773122,2,apache-2.0,true,open weights — free to self-host (HF Hub),open-weight,oss,embedding,[],registry-hosted,normal,specific
OpenAI text-embedding-3-large,https://platform.openai.com/docs/guides/embeddings#text-embedding-3-large,OpenAI's flagship text embedding model — high-accuracy retrieval with native dimension shortening (Matryoshka-style) via the dimensions parameter.,hosted-service,unknown,false,"[""openai"",""text-embedding"",""retrieval""]",text-embedding-3-large,OpenAI,,,,,,false,,api,proprietary,embedding,"[""matryoshka-dimensions"",""multilingual""]",commercial,normal,specific
unsloth/bge-small-en-v1.5,https://huggingface.co/unsloth/bge-small-en-v1.5,"feature extraction (sentence-transformers) — license: mit — 128,897 downloads",base-model,unknown,false,"[""sentence-transformers"",""pytorch"",""onnx"",""safetensors"",""bert"",""feature-extraction"",""sentence-similarity"",""transformers"",""mteb"",""en"",""model-index"",""text-embeddings-inference""]",unsloth/bge-small-en-v1.5,unsloth,unsloth,feature-extraction,128897,1,mit,true,open weights — free to self-host (HF Hub),open-weight,oss,embedding,[],registry-hosted,normal,specific
Google Gemini Embedding,https://ai.google.dev/gemini-api/docs/embeddings#gemini-embedding-001,Google's Gemini-based embedding model on the Gemini API and Vertex AI — strong multilingual retrieval with elastic output dimensions.,hosted-service,unknown,true,"[""google"",""gemini-api"",""vertex-ai""]",gemini-embedding-001,Google,,,,,,false,Gemini API free tier (rate-limited),api,proprietary,embedding,"[""matryoshka-dimensions"",""multilingual""]",commercial,normal,specific
emarro/pcad2-200M-cnet-baseline,https://huggingface.co/emarro/pcad2-200M-cnet-baseline,"feature extraction (transformers) — 132,754 downloads",base-model,unknown,false,"[""transformers"",""safetensors"",""feature-extraction"",""custom_code""]",emarro/pcad2-200M-cnet-baseline,emarro,emarro,feature-extraction,132754,0,,true,open weights — free to self-host (HF Hub),open-weight,open-weight,embedding,[],registry-hosted,normal,specific
Mistral Embed,https://docs.mistral.ai/capabilities/embeddings/#mistral-embed,Mistral's text embedding endpoint on La Plateforme — European-hosted embedding API for retrieval and clustering workloads.,hosted-service,unknown,true,"[""mistral"",""european-hosting""]",mistral-embed,Mistral AI,,,,,,false,,api,proprietary,embedding,"[""multilingual""]",documentation,normal,specific
sentence-transformers/paraphrase-albert-small-v2,https://huggingface.co/sentence-transformers/paraphrase-albert-small-v2,"sentence similarity (sentence-transformers) — license: apache-2.0 — 413,235 downloads",base-model,unknown,false,"[""sentence-transformers"",""pytorch"",""tf"",""rust"",""onnx"",""safetensors"",""openvino"",""albert"",""feature-extraction"",""sentence-similarity"",""transformers"",""endpoints_compatible""]",sentence-transformers/paraphrase-albert-small-v2,sentence-transformers,sentence-transformers,sentence-similarity,413235,11,apache-2.0,true,open weights — free to self-host (HF Hub),open-weight,oss,embedding,[],registry-hosted,normal,specific
Voyage 3 Large (Voyage AI),https://docs.voyageai.com/docs/embeddings#voyage-3-large,Voyage AI's top general-purpose embedding model (MongoDB-owned) — retrieval-optimized with quantization-aware training and flexible output dimensions.,hosted-service,unknown,false,"[""voyage"",""mongodb"",""retrieval""]",voyage-3-large,Voyage AI,,,,,,false,free tier token allowance,api,proprietary,embedding,"[""matryoshka-dimensions"",""binary-quantization"",""multilingual""]",documentation,normal,specific
