name,url,description,category,pricing,hasApi,tags,modelId,provider,author,pipelineTag,downloads,likes,license,isFree,freeTier,availability,licenseTier,modalityClass,capabilities,urlDomainTier,descriptionLengthTier,categorizationTier
QuantStack/FLUX.1-Krea-dev-GGUF,https://huggingface.co/QuantStack/FLUX.1-Krea-dev-GGUF,"text to image (gguf) — license: other — 8,188 downloads",base-model,unknown,false,"[""gguf"",""text-to-image"",""en""]",QuantStack/FLUX.1-Krea-dev-GGUF,QuantStack,QuantStack,text-to-image,8188,141,other,true,open weights — free to self-host (HF Hub),open-weight,open-weight,text-to-image,[],registry-hosted,normal,specific
stabilityai/stable-diffusion-3.5-large-controlnet-canny,https://huggingface.co/stabilityai/stable-diffusion-3.5-large-controlnet-canny,"text to image (diffusers) — license: other — 16,198 downloads",controlnet,unknown,false,"[""diffusers"",""safetensors"",""stable-diffusion"",""controlnet"",""text-to-image"",""en""]",stabilityai/stable-diffusion-3.5-large-controlnet-canny,stabilityai,stabilityai,text-to-image,16198,15,other,true,open weights — free to self-host (HF Hub),open-weight,open-weight,text-to-image,"[""controlnet""]",registry-hosted,normal,specific
xAI Grok Imagine (Aurora),https://docs.x.ai/docs/models,"xAI's image generation capability in the Grok product family, served via the xAI API — photorealistic generation integrated with the Grok assistant.",hosted-service,unknown,true,"[""xai"",""grok""]",grok-image,xAI,,,,,,false,,api,proprietary,text-to-image,[],documentation,normal,specific
stable-diffusion-v1-5/stable-diffusion-inpainting,https://huggingface.co/stable-diffusion-v1-5/stable-diffusion-inpainting,"text to image (diffusers) — license: creativeml-openrail-m — 164,928 downloads",inpainting,unknown,false,"[""diffusers"",""stable-diffusion"",""stable-diffusion-diffusers"",""text-to-image"",""diffusers:stablediffusioninpaintpipeline""]",stable-diffusion-v1-5/stable-diffusion-inpainting,stable-diffusion-v1-5,stable-diffusion-v1-5,text-to-image,164928,110,creativeml-openrail-m,true,open weights — free to self-host (HF Hub),open-weight,open-weight,text-to-image,[],registry-hosted,normal,specific
zooeyy/Style-Transfer,https://huggingface.co/zooeyy/Style-Transfer,"text to image (diffusers) — license: apache-2.0 — 7,884 downloads",lora-adapter,unknown,false,"[""diffusers"",""text-to-image"",""lora"",""template:diffusion-lora""]",zooeyy/Style-Transfer,zooeyy,zooeyy,text-to-image,7884,22,apache-2.0,true,open weights — free to self-host (HF Hub),open-weight,oss,text-to-image,"[""lora-adapter""]",registry-hosted,normal,specific
John6666/cyberillustrious-cyberrealistic-v40-sdxl,https://huggingface.co/John6666/cyberillustrious-cyberrealistic-v40-sdxl,"text to image (diffusers) — license: other — 13,736 downloads",base-model,unknown,false,"[""diffusers"",""safetensors"",""text-to-image"",""stable-diffusion"",""stable-diffusion-xl"",""realistic"",""photorealistic"",""merge"",""illustrious"",""en"",""endpoints_compatible"",""diffusers:stablediffusionxlpipeline""]",John6666/cyberillustrious-cyberrealistic-v40-sdxl,John6666,John6666,text-to-image,13736,0,other,true,open weights — free to self-host (HF Hub),open-weight,open-weight,text-to-image,[],registry-hosted,normal,specific
thibaud/controlnet-openpose-sdxl-1.0,https://huggingface.co/thibaud/controlnet-openpose-sdxl-1.0,"text to image (diffusers) — license: other — 53,283 downloads",controlnet,unknown,false,"[""diffusers"",""stable-diffusion-xl"",""stable-diffusion-xl-diffusers"",""text-to-image"",""controlnet""]",thibaud/controlnet-openpose-sdxl-1.0,thibaud,thibaud,text-to-image,53283,418,other,true,open weights — free to self-host (HF Hub),open-weight,open-weight,text-to-image,"[""controlnet""]",registry-hosted,normal,specific
FLUX 1.1 Pro (Black Forest Labs),https://bfl.ai/models/flux-pro,"Black Forest Labs' flagship hosted text-to-image model — top-tier photorealism and prompt adherence, served via the BFL API and partner platforms (Replicate, fal, Together).",hosted-service,unknown,true,"[""bfl"",""flux"",""photorealism""]",flux-1.1-pro,Black Forest Labs,,,,,,false,,api,proprietary,text-to-image,[],commercial,normal,specific
diffusers/stable-diffusion-xl-1.0-inpainting-0.1,https://huggingface.co/diffusers/stable-diffusion-xl-1.0-inpainting-0.1,"text to image (diffusers) — license: openrail++ — 71,158 downloads",inpainting,unknown,false,"[""diffusers"",""safetensors"",""stable-diffusion-xl"",""stable-diffusion-xl-diffusers"",""text-to-image"",""inpainting"",""diffusers:stablediffusionxlinpaintpipeline""]",diffusers/stable-diffusion-xl-1.0-inpainting-0.1,diffusers,diffusers,text-to-image,71158,376,openrail++,true,open weights — free to self-host (HF Hub),open-weight,open-weight,text-to-image,[],registry-hosted,normal,specific
ostris/ideogram_4_unconditional_lora,https://huggingface.co/ostris/ideogram_4_unconditional_lora,"text to image (diffusers) — license: other — 7,934 downloads",lora-adapter,unknown,false,"[""diffusers"",""text-to-image"",""lora""]",ostris/ideogram_4_unconditional_lora,ostris,ostris,text-to-image,7934,43,other,true,open weights — free to self-host (HF Hub),open-weight,open-weight,text-to-image,"[""lora-adapter""]",registry-hosted,normal,specific
