name,url,description,category,pricing,hasApi,tags,urlDomainTier,descriptionLengthTier,categorizationTier
FreeCAD,https://www.freecadweb.org/,a free and open-source multiplatform 3D parametric modeler.,3d,open-source,false,"[""table of content"",""three d modeling software""]",commercial,normal,specific
Accessible Palette Builder,https://toolness.github.io/accessible-color-matrix,an Elm-based prototype to help designers build accessible color palettes. [](https://github.com/toolness/accessible-color-matrix),accessibility,open-source,false,"[""table of content"",""accessibility tools""]",commercial,normal,specific
HP Reveal,https://www.hpreveal.com/,adding value to printed content through visual interactivity.,augmented-reality,unknown,false,"[""table of content"",""augmented reality""]",commercial,normal,specific
Jitsi,https://jitsi.org/,multi-platform open-source video conferencing you can install yourself or use on their servers.,collaboration,open-source,false,"[""table of content"",""collaboration tools""]",commercial,normal,specific
InclusiveColors palette creator,https://www.inclusivecolors.com/,"Create custom accessible Tailwind-style color palettes, where you can modify HSL curves across whole swatches, check WCAG/APCA contrast, then export to Tailwind/CSS/Figma/Adobe",colors,free,false,"[""colors""]",commercial,normal,specific
Creattie,https://creattie.com/,a curated library of Lottie animations and animated icons created by award-winning artists,css-animations,open-source,true,"[""animations, 3d and sound""]",commercial,normal,specific
Blaze.css,http://blazecss.com/,Open source modular CSS toolkit providing great structure for building websites quickly,css-frameworks,open-source,false,"[""css frameworks""]",commercial,normal,specific
Graphberry,http://www.graphberry.com/,provide you with the creative graphic resources you need to transform into your personal or commercial work.,design-inspiration,free,false,"[""read and digest""]",commercial,normal,specific
Atomize,https://atomizecode.com/,UI framework that helps developers collaborate with designers and build consistent user interfaces effortlessly,design-systems,unknown,true,"[""design systems & style guides""]",commercial,normal,specific
Excalidraw,https://excalidraw.com/,Virtual whiteboard for sketching hand-drawn like diagrams,design-tools,unknown,false,"[""online design tools""]",commercial,normal,specific
BrowserStack,https://chrome.google.com/webstore/detail/browserstack/nkihdmlheodkdfojglpcjjmioefjahjb?hl=en,Instantly test your webpage on any desktop or mobile browser.,extensions,free,false,"[""chrome extensions""]",commercial,normal,specific
Font Space,https://www.fontspace.com/,A designer-centered free font website that has quick customizable previews,fonts,free,false,"[""fonts""]",commercial,normal,specific
css.gg,https://css.gg/,"700+ Open-source CSS, SVG and Figma UI Icons Available in SVG Sprite, styled-components, NPM & API",icons,open-source,true,"[""icons""]",commercial,normal,specific
Free Vectors,https://www.freevectors.net/,Community of vector lovers who share free vector graphics,illustrations,free,false,"[""vectors & clip art""]",commercial,normal,specific
Watermarkly,https://watermarkly.com/compress-jpeg,"Private, client-side compression of JPEG images. The app does not send images to a server for processing.",image-compression,unknown,false,"[""image compression""]",commercial,normal,specific
Slick,https://kenwheeler.github.io/slick,Fully responsive carousel,javascript-libraries,open-source,false,"[""javascript animation libraries""]",commercial,terse,specific
PixelBuddha,https://pixelbuddha.net/,free and premium high-quality resources for web designers and developers.,mockups,freemium,true,"[""table of content"",""mockup tools""]",commercial,normal,specific
About Face: The Essentials of Interaction Design,https://www.amazon.com/gp/product/1118766571/ref=as_li_qf_sp_asin_il_tl?ie=UTF8&camp=1789&creative=9325&creativeASIN=1118766571&linkCode=as2&tag=office03a70-20&linkId=I5TMKUXHZ43SHHPE,About Face: The Essentials of Interaction Design,other,unknown,false,"[""book""]",commercial,terse,other
Amplitude,https://amplitude.com/,"understand your users, rapidly release better product experiences, and grow your business.",prototyping,unknown,true,"[""table of content"",""experience monitoring""]",commercial,normal,specific
Freely Photos,https://freelyphotos.com/,Totally free high quality Christian stock photography.,stock-photos,free,false,"[""photography"",""cc0-license""]",commercial,normal,specific
Free Stock Music,https://www.free-stock-music.com/,"Royalty free stock music for YouTube videos, podcasts, etc",stock-videos,free,false,"[""stock music & sound effects""]",commercial,normal,specific
LostType,http://losttype.com/,the first Pay-What-You-Want type foundry.,typography,unknown,false,"[""table of content"",""font tools""]",commercial,terse,specific
LottieFiles,https://lottiefiles.com/,"Interactive animations in many formats like json,gif and mp4, libraries and plugins for Web & Mobile .",ui-components,open-source,false,"[""ui components & kits""]",commercial,normal,specific
sketchvalley,https://sketchvalley.com/,"Download free PNG, SVG or AI file .",ui-graphics,free,false,"[""ui graphics""]",commercial,terse,specific
Rhino,https://www.rhino3d.com/,a curve-based 3D modeling software that creates mathematically-precise models of 3D surfaces.,3d,unknown,false,"[""table of content"",""three d modeling software""]",commercial,normal,specific
Color Oracle,https://colororacle.org/,a free color blindness simulator.,accessibility,free,false,"[""table of content"",""accessibility tools""]",commercial,terse,specific
EasyAR,https://www.easyar.com/,"a mobile application and an Augmented Reality Engine, making AR easier.",augmented-reality,unknown,false,"[""table of content"",""augmented reality""]",commercial,normal,specific
Slack,https://slack.com/,"a collaboration hub for work, no matter what work you do. It’s a place where conversations happen, decisions are made, and information is always at your fingertips.",collaboration,unknown,false,"[""table of content"",""collaboration tools""]",commercial,normal,specific
Bootflat,https://bootflat.github.io/color-picker.html,Bootflat Flat UI color picker is a project digging the Flat Color Picker which gives you the perfect colors for flat designs.,colors,open-source,false,"[""colors""]",commercial,normal,specific
Flow,https://createwithflow.com/,"a professional animation tool for Sketch designs that also exports production-ready code for iOS, Web or SVG files.",css-animations,open-source,false,"[""table of content"",""animation tools""]",commercial,normal,specific
